ID,TITLE,YEAR,DOI,LANG,JOURNAL,ISSN,QUALIS,JCR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
8664385553515842,Uma abordagem metodológica para o desenvolvimento de sistemas automatizados e integrados de manufatura,2008,10.1590/S0103-65132008000100002,Português,Produção (São Paulo. Impresso),01036513,B1,-99,"['Paula, Marco Antonio Busetti de', 'Eduardo Alves Portela Santos']","['1', '1']",1,"['', '8664385553515842']"
8664385553515842,A control-monitoring-maintenance framework based on Petri net with objects in flexible manufacturing system,2007,,Português,Brazilian Journal of Operations and Production Management,16798171,B3,-99,"['Eduardo de Freitas Rocha Loures', 'Marco Antônio Busetti De Paula', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['5103490322445619', '1328903662330792', '']"
8664385553515842,An approach for reconfigurable automated processes in agile manufacturing,2008,,Português,Brazilian Journal of Operations and Production Management,16798171,B3,-99,"['Marco Antonio Busetti de Paula', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['1328903662330792', '8664385553515842']"
8664385553515842,A computational control implementation environment for automated manufacturing systems,2012,10.1080/00207543.2011.626460,Inglês,International Journal of Production Research (Print),00207543,A1,-99,"['Ricardo Alexandre Diogo', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos', 'Agnelo Denis Vieira', 'Marco Antonio Busetti de Paula']","['1', '2', '3', '4', '5']",3,"['2534420770758172', '5103490322445619', '', '5135637585071745', '1328903662330792']"
8664385553515842,Dealing with routing in an automated manufacturing cell: a supervisory control theory application,2011,10.1080/00207543.2010.519732,Inglês,International Journal of Production Research (Print),00207543,A1,-99,"['Silva, Daniel B.', 'Vieira, Agnelo D.', 'Loures, Eduardo F.R.', 'Busetti, Marco A.', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5']",5,"['', '5135637585071745', '', '', '']"
8664385553515842,Achieving maturity (and measuring performance) through model-based process improvement,2013,,Inglês,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),18071775,A3,-99,"['Jose Marcelo Almeida Prado Cestari', 'Arthur Maria do Valle', 'Edson Pinheiro de Lima', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '7304491503357135', '']"
8664385553515842,Supervisory control service for supporting flexible processes,2013,10.1108/imds-10-2012-0361,Inglês,Industrial Management + Data Systems,02635577,XX,-99,"['Eduardo Alves Portela Santos', 'FRANCISCO, ROSEMARY', 'PESIC, MAJA', 'AALST, WIL VAN DER']","['1', '2', '3', '4']",1,"['', '', '', '']"
8664385553515842,The Proposition of a Framework for Semantic Process Mining,2014,10.4028/www.scientific.net/amr.1051.995,Português,Advanced Materials Research (Online),16628985,XX,-99,"['LIAO, YONG XIN', 'ROCHA LOURES, EDUARDO', 'Eduardo Alves Portela Santos', 'CANCIGLIERI, OSIRIS']","['1', '2', '3', '4']",3,"['', '', '', '9598512164868745']"
8664385553515842,Modeling constraint-based processes: A supervisory control theory application,2014,10.2298/csis131029026s,Inglês,COMPUT SCI INF SYST,18200214,XX,0.62,"['Eduardo Alves Portela Santos', 'Vieira, Agnelo', 'Schaidt, Sauro', 'Loures, Eduardo']","['1', '2', '3', '4']",1,"['', '', '', '']"
8664385553515842,Alarm Rationalization Based on Process Mining Techniques,2014,10.4028/www.scientific.net/AMR.1061-1062.1258,Inglês,Advanced Materials Research (Online),16628985,XX,-99,"['KONDO, RICARDO EIJI', 'DE FREITAS ROCHA LOURES, EDUARDO', 'Eduardo Alves Portela Santos', 'BRAGA, CARMELA MARIA POLITO']","['1', '2', '3', '4']",3,"['', '', '', '']"
8664385553515842,Semi-physical piecewise affine representation for governors in hydropower system generation,2016,10.1016/j.epsr.2016.02.022,Inglês,Electric Power Systems Research (Print),03787796,XX,-99,"['DONAISKY, EMERSON', 'OLIVEIRA, GUSTAVO H.C.', 'Eduardo Alves Portela Santos', 'LEANDRO, GIDEON V.', 'PENA, ADINÃ M.', 'SOUZA, JOÃO A.']","['1', '2', '3', '4', '5', '6']",3,"['', '', '', '', '', '']"
8664385553515842,A Method for PLC Implementation of Supervisory Control of Discrete Event Systems,2017,10.1109/tcst.2016.2544702,Português,IEEE Transactions on Control Systems Technology (Print),10636536,XX,5.371,"['Agnelo Denis Vieira', 'Eduardo Alves Portela Santos', 'DE QUEIROZ, MAX HERING', 'LEAL, ANDRE B.', 'DE PAULA NETO, AMARO DUARTE', 'CURY, JOSE E. R.']","['1', '2', '3', '4', '5', '6']",2,"['5135637585071745', '', '', '', '', '']"
8664385553515842,ANÁLISE E IMPLEMENTAÇÃO DE MÉTODOS DE TOMADA DE DECISÃO EM MANUTENÇÃO COM BASE EM PLATAFORMA BPMS,2017,,Português,Revista SODEBRAS,18093957,B2,-99,"['GUINTHER KOVALSKI DA COSTA', 'Reginaldo Borges', 'Eduardo de Freitas Rocha Loures', 'Osiris Canciglieri', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5']",5,"['', '', '', '', '8664385553515842']"
8664385553515842,Process-aware FMEA framework for failure analysis in maintenance,2017,10.1108/JMTM-11-2016-0150,Inglês,JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,1741038X,A1,2.642,"['BATTIROLA FILHO, JULIO CESAR', 'PIECHNICKI, FLÁVIO', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,Information Technology Service Management Processes for Small and Medium Enterprises A Proposal for an Implementation Sequence,2017,10.17577/ijertv6is060338,Inglês,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,22780181,XX,-99,"['Renato Machado', 'José Marcelo Almeida Prado Cestari', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '8664385553515842']"
8664385553515842,Interoperability Assessment as Indicator of Innovation Management Effectiveness,2017,10.17577/ijertv6is050126,Inglês,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,22780181,XX,-99,"['Emerson Rigoni', 'José Marcelo Almeida Prado Cestari', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '8664385553515842']"
8664385553515842,Industrial maintenance decision-making: A systematic literature review,2017,10.1016/j.jmsy.2017.09.003,Inglês,JOURNAL OF MANUFACTURING SYSTEMS,02786125,A1,-99,"['RUSCHEL, EDSON', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,Applying process mining techniques in software process appraisals,2017,10.1016/j.infsof.2017.01.004,Inglês,INFORMATION AND SOFTWARE TECHNOLOGY,09505849,A1,-99,"['M. VALLE, ARTHUR', 'Eduardo Alves Portela Santos', 'R. LOURES, EDUARDO']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,An approach to select a process variant using process mining: An application in healthcare,2017,,Inglês,INSIGHT International Council on Systems Engineering,21564868,XX,-99,"['Silvana Pereira Detro', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Hervé Panetto', 'Mario Lezoche']","['1', '2', '3', '4', '5']",2,"['', '8664385553515842', '', '', '']"
8664385553515842,A METHOD TO DIAGNOSE PUBLIC ADMINISTRATION INTEROPERABILITY CAPABILITY LEVELS BASED ON MULTI-CRITERIA DECISION-MAKING,2017,10.1142/S0219622017500365,Inglês,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,02196220,XX,-99,"['José Marcelo Almeida Prado Cestari', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '8664385553515842']"
8664385553515842,Establishment of maintenance inspection intervals: an application of process mining techniques in manufacturing,2018,10.1007/s10845-018-1434-7,Inglês,JOURNAL OF INTELLIGENT MANUFACTURING,09565515,A1,-99,"['RUSCHEL, EDSON', 'Eduardo Alves Portela Santos', 'LOURES, EDUARDO DE FREITAS ROCHA']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,A Conceptual Framework of Knowledge Conciliation to Decision Making Support in RCM Deployment,2017,10.1016/j.promfg.2017.07.235,Inglês,PROCEDIA MANUFACTURING,23519789,XX,-99,"['PIECHNICKI, FLÁVIO', 'Loures, Eduardo', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '']"
8664385553515842,Mining Shop-Floor Data for Preventive Maintenance Management: Integrating Probabilistic and Predictive Models,2017,10.1016/j.promfg.2017.07.234,Inglês,PROCEDIA MANUFACTURING,23519789,XX,-99,"['RUSCHEL, EDSON', 'Eduardo Alves Portela Santos', 'LOURES, EDUARDO DE FREITAS ROCHA']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,"Mapping the Conceptual Relationship among Data Analysis, Knowledge Generation and Decision-making in Industrial Processes",2017,10.1016/j.promfg.2017.07.305,Inglês,PROCEDIA MANUFACTURING,23519789,XX,-99,"['DOS SANTOS, CLEITON FERREIRA', 'PIECHNICKI, FLÁVIO', 'DE FREITAS ROCHA LOURES, EDUARDO', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,A capability model for public administration interoperability,2019,10.1080/17517575.2018.1564154,Inglês,Enterprise Information Systems,17517583,XX,2.122,"['ALMEIDA PRADO CESTARI, JOSÉ MARCELO', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos', 'Panetto, Hervé']","['1', '2', '3', '4']",3,"['', '', '', '']"
8664385553515842,Process Mining Techniques and Applications - A Systematic Mapping Study,2019,10.1016/j.eswa.2019.05.003,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,09574174,A1,-99,"['SANTOS GARCIA, CLEITON DOS', 'MEINCHEIM, ALEX', 'FARIA JUNIOR, ELIO RIBEIRO', 'DALLAGASSA, MARCELO ROSANO', 'VECINO SATO, DENISE MARIA', 'CARVALHO, DEBORAH RIBEIRO', 'Eduardo Alves Portela Santos', 'SCALABRIN, EDSON EMILIO']","['1', '2', '3', '4', '5', '6', '7', '8']",7,"['', '', '', '', '', '', '', '']"
8664385553515842,Applying process mining and semantic reasoning for process model customisation in healthcare,2019,10.1080/17517575.2019.1632382,Inglês,Enterprise Information Systems,17517583,XX,2.122,"['PEREIRA DETRO, SILVANA', 'Eduardo Alves Portela Santos', 'Panetto, Hervé', 'LOURES, EDUARDO DE', 'Lezoche, Mario', 'CABRAL MORO BARRA, CLAUDIA']","['1', '2', '3', '4', '5', '6']",2,"['', '', '', '', '', '']"
8664385553515842,Product Lifecycle Management Maturity Models in Industry 4.0,2018,,Português,IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,18684238,XX,-99,"['Kássio Cabral Pereira dos Santos', 'Eduardo de Freitas Rocha Loures', 'Osiris Canciglieri Junior', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '5103490322445619', '', '8664385553515842']"
8664385553515842,Control of a Refrigeration System Benchmark Problem: An Approach based on COR Metaheuristic Algorithm and TOPSIS Method,2019,10.1016/j.ifacol.2019.09.122,Inglês,IFAC-PAPERSONLINE,24058963,XX,-99,"['KAGAMI, RICARDO MASSAO', 'REYNOSO-MEZA, GILBERTO', 'Eduardo Alves Portela Santos', 'FREIRE, ROBERTO ZANETTI']","['1', '2', '3', '4']",3,"['', '', '', '']"
8664385553515842,Towards safety level definition based on the HRN approach for industrial robots in collaborative activities,2019,10.1016/j.promfg.2020.01.139,Inglês,PROCEDIA MANUFACTURING,23519789,XX,-99,"['HIPPERTT, MAGNO PAIVA', 'JUNIOR, MARCIO LAZAI', 'SZEJKA, ANDERSON LUIS', 'JUNIOR, OSIRIS CANCIGLIERI', 'Loures, Eduardo Rocha', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5', '6']",6,"['', '', '', '', '', '']"
8664385553515842,Applying machine learning to AHP multicriteria decision making method to assets prioritization in the context of industrial maintenance 4.0,2019,10.1016/j.ifacol.2019.11.524,Inglês,IFAC-PAPERSONLINE,24058963,XX,-99,"['LIMA, ERICK', 'GORSKI, EWERTON', 'Loures, Eduardo F.R.', 'Eduardo Alves Portela Santos', 'DESCHAMPS, FERNANDO']","['1', '2', '3', '4', '5']",4,"['', '', '', '', '']"
8664385553515842,Dealing with contraint-based processes: Declare and supervisory control theory,2013,,Inglês,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,21945357,B2,-99,"['Sauro Schaidt', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos', 'Agnelo Denis Vieira']","['1', '2', '3', '4']",3,"['', '', '8664385553515842', '']"
8664385553515842,Process mining project methodology in healthcare: a case study in a tertiary hospital,2020,10.1007/s13721-020-00227-w,Inglês,NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS,21926662,XX,-99,"['PEREIRA, GUSTAVO BERNARDI', 'Eduardo Alves Portela Santos', 'MACENO, MARCELL MARIANO CORRÊA']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,An extended model for remaining time prediction in manufacturing systems using process mining,2020,10.1016/j.jmsy.2020.06.003,Inglês,JOURNAL OF MANUFACTURING SYSTEMS,02786125,A1,-99,"['CHOUEIRI, ALEXANDRE CHECOLI', 'SATO, DENISE MARIA VECINO', 'SCALABRIN, EDSON EMILIO', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,A support framework for decision making in emergency department management,2020,10.1016/j.cie.2020.106477,Inglês,COMPUTERS & INDUSTRIAL ENGINEERING,03608352,A1,-99,"['Pegoraro, Fábio', 'Eduardo Alves Portela Santos', 'DE FREITAS ROCHA LOURES, EDUARDO']","['1', '2', '3']",2,"['', '', '']"
8664385553515842,A hybrid model to support decision making in emergency department management,2020,10.1016/j.knosys.2020.106148,Inglês,KNOWLEDGE-BASED SYSTEMS,09507051,A1,-99,"['Pegoraro, Fábio', 'Eduardo Alves Portela Santos', 'DE FREITAS ROCHA LOURES, EDUARDO', 'LAUS, FERNANDA WANKA']","['1', '2', '3', '4']",2,"['', '', '', '']"
8664385553515842,Assessment of supply chain segmentation from an interoperability perspective,2020,10.1080/13675567.2020.1795821,Inglês,International Journal of Logistics-Research and Applications,13675567,A2,-99,"['Pereira, Laion Xavier', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '']"
8664385553515842,Data fusion framework for decision-making support in reliability-centered maintenance,2020,10.1080/21681015.2020.1817164,Inglês,Journal of Industrial and Production Engineering,21681015,XX,-99,"['PIECHNICKI, FLÁVIO', 'DOS SANTOS, CLEITON FERREIRA', 'DE FREITAS ROCHA LOURES, EDUARDO', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,Fluxo de trabalho e tomada de decisão do enfermeiro de centro cirúrgico: revisão integrativa,2020,10.1590/1983-1447.2020.20190387,Português,REVISTA GAÚCHA DE ENFERMAGEM,19831447,A3,-99,"['Ana Luzia Rodrigues', 'Fernanda Broering Gomes Torres', 'Denilsen Carvalho Gomes', 'Deborah Ribeiro Carvalho', 'Eduardo Alves Portela Santos', 'Marcia Regina Cubas']","['1', '2', '3', '4', '5', '6']",5,"['', '', '', '', '8664385553515842', '']"
8664385553515842,Automated system gains in lean manufacturing improvement projects,2020,10.1016/j.promfg.2020.10.187,Inglês,PROCEDIA MANUFACTURING,23519789,XX,-99,"['Marcio Lazai Junior', 'Licia Cristina de Paula Santos', 'Nathália Renata Grossi Chamie', 'Rodrigo Pierezan', 'ROCHA LOURES, EDUARDO DE FREITAS', 'Eduardo Alves Portela Santos', 'Sérgio Eduardo Gouvêa da Costa', 'Edson Pinheiro de Lima']","['1', '2', '3', '4', '5', '6', '7', '8']",6,"['', '', '', '8569289263658744', '', '8664385553515842', '', '']"
8664385553515842,"Ischemic stroke: Process perspective, clinical and profile characteristics, and external factors",2020,10.1016/j.jbi.2020.103582,Inglês,JOURNAL OF BIOMEDICAL INFORMATICS,15320464,A1,2.95,"['SATO, DENISE M.V.', 'Eduardo Alves Portela Santos', 'MANTOVANI, LETÍCIA K.', 'SAFANELLI, JULIANA', 'GUESSER, VANESSA', 'NAGEL, VIVIAN', 'MORO, CARLA H.C.', 'CABRAL, NORBERTO L.', 'SCALABRIN, EDSON E.', 'MORO, CLAUDIA']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",10,"['', '', '', '', '', '', '', '', '', '']"
8664385553515842,Performance analysis and time prediction in manufacturing systems,2020,10.1016/j.cie.2020.106972,Inglês,COMPUTERS & INDUSTRIAL ENGINEERING,03608352,A1,-99,"['RUSCHEL, EDSON', 'ROCHA LOURES, EDUARDO DE FREITAS', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '']"
8664385553515842,Multi-product scheduling through process mining: bridging optimization and machine process intelligence,2021,10.1007/s10845-021-01767-2,Inglês,JOURNAL OF INTELLIGENT MANUFACTURING,09565515,A1,-99,"['CHOUEIRI, ALEXANDRE CHECOLI', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,Discovery of path-attribute dependency in manufacturing environments: A process mining approach,2021,10.1016/j.jmsy.2021.08.005,Inglês,JOURNAL OF MANUFACTURING SYSTEMS,02786125,A1,-99,"['CHOUEIRI, ALEXANDRE CHECOLI', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,Towards a smart workflow in CMMS/EAM systems: An approach based on ML and MCDM,2021,10.1016/j.jii.2021.100278,Inglês,Journal Of Industrial Information Integration,2452414X,XX,-99,"['GORSKI, EWERTON GUSTHAVO', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos', 'KONDO, RICARDO EIJI', 'MARTINS, GIOVANA REGINA DEL NEGRO']","['1', '2', '3', '4', '5']",3,"['', '', '', '', '']"
