ID,INSTITUTION,INSTITUTION_CODE,YEAR,YEAR_FIN,MONTH_INI,MONTH_FIN,DEGREE,DEGREE_ID,TYPE,TITLE
8664385553515842,Pontifícia Universidade Católica do Paraná,020700000008,2002,ATUAL,3,,Engenharia de Produção e Sistemas,60017724,POS-GRADUACAO,"['Matemática Discreta', 'Sistemas a Eventos Discretos']"
8664385553515842,Pontifícia Universidade Católica do Paraná,020700000008,1996,ATUAL,3,,Engenharia de Controle e Automação,90000001,GRADUACAO,"['Matemática Discreta e Lógica Computacional', 'Sistemas a Eventos Discretos', 'Sistemas Industriais']"
8664385553515842,Universidade Federal do Paraná,010300000003,2014,ATUAL,08,,Administração,60074817,GRADUACAO,"['Logística de Distribuição', 'Logística de Suprimentos', 'Sistemas de Produção']"
8664385553515842,IEEE Transactions on Neural Networks and Learning Systems,000400000997,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,000500000999,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,000600000990,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,COMPUTER STANDARDS & INTERFACES,000700000992,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,000800000994,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,Enterprise Information Systems,000900000996,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,DATA & KNOWLEDGE ENGINEERING,001000000998,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,JOURNAL OF INTELLIGENT MANUFACTURING,001100000990,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
8664385553515842,Fundação Araucária de Apoio ao Desenvolvimento Científico e Tecnológico,383900000009,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO
